user_id,posted,sentiment_analysis
76561197970982479,2011-11-05,positivo
76561197970982479,2011-07-15,positivo
76561197970982479,2011-04-21,positivo
js41637,2014-06-24,positivo
js41637,2013-09-08,negativo
js41637,2013-11-29,negativo
evcentric,Posted February 3.,positivo
evcentric,2015-12-04,positivo
evcentric,2014-11-03,positivo
evcentric,2014-10-15,negativo
evcentric,2014-10-15,positivo
evcentric,2014-10-15,positivo
doctr,2013-10-14,positivo
doctr,2012-07-28,positivo
doctr,2012-06-02,positivo
doctr,2014-06-29,positivo
doctr,2012-11-22,negativo
doctr,2012-02-23,positivo
maplemage,2014-04-15,neutral
maplemage,2013-12-23,positivo
maplemage,2014-03-14,positivo
maplemage,2013-07-11,positivo
Wackky,2014-05-05,negativo
Wackky,2012-12-24,negativo
Wackky,2012-10-21,neutral
Wackky,2012-03-20,negativo
Wackky,2012-03-09,positivo
76561198079601835,Posted May 20.,neutral
MeaTCompany,Posted July 24.,negativo
76561198089393905,2015-02-01,negativo
76561198089393905,2014-06-20,neutral
76561198156664158,Posted June 16.,positivo
76561198077246154,Posted June 11.,neutral
76561198077246154,2014-08-25,neutral
WeiEDKrSat,2013-12-25,neutral
thequeenpanda,2012-06-23,neutral
death-hunter,2015-09-05,positivo
death-hunter,2015-03-30,positivo
death-hunter,2014-02-19,positivo
DJKamBer,2014-07-14,negativo
DJKamBer,2013-04-27,positivo
DJKamBer,2015-07-20,positivo
DJKamBer,2013-11-04,positivo
DJKamBer,2013-07-12,positivo
DJKamBer,2012-08-19,neutral
Rainbow-Dashie,2015-06-19,positivo
Rainbow-Dashie,2014-09-20,positivo
Rainbow-Dashie,2014-09-07,negativo
76561198043472122,2014-12-19,negativo
MarbleShrine,2015-02-17,positivo
PPanther,2014-06-07,positivo
devvonst,2014-02-12,positivo
devvonst,2014-02-09,neutral
devvonst,2015-10-31,positivo
Fr0stedLine,Posted February 27.,positivo
starkillershadow553,2015-02-04,positivo
starkillershadow553,Posted August 23.,negativo
starkillershadow553,2014-04-05,positivo
76561198058373434,2015-01-08,neutral
76561198048353577,2015-10-26,negativo
76561198048353577,Posted May 16.,positivo
76561198048353577,2013-03-20,positivo
76561198066046412,2015-12-28,negativo
76561198066046412,2015-05-19,positivo
tru_mu_,2015-12-15,positivo
76561198070565427,Posted March 31.,neutral
76561198070565427,2015-08-21,neutral
76561198070565427,2014-10-17,neutral
76561198070565427,2014-06-27,neutral
76561198070565427,2014-04-28,neutral
SavageEeEe,2015-11-12,positivo
76561198076909484,2014-06-18,negativo
KanadeTheNeko,2014-11-20,positivo
KanadeTheNeko,2014-05-29,positivo
Leaf_Light_Moscow,Posted July 9.,positivo
GoAwayZach,2014-12-29,positivo
76561198054540475,2015-02-13,positivo
76561198054540475,2014-12-26,neutral
76561198054540475,2014-02-04,positivo
76561198085547365,Posted June 16.,positivo
76561198085547365,Posted June 16.,positivo
76561198061252210,2015-05-21,positivo
OfficialShroomsy,2013-12-06,negativo
boydeer,2014-05-12,neutral
boydeer,2015-08-24,neutral
VVillis,2015-01-06,neutral
76561198083226897,2015-12-22,negativo
76561198075277292,2015-06-23,neutral
76561198075277292,2015-09-11,positivo
76561198028895010,2013-04-22,positivo
76561198028895010,2012-05-27,positivo
76561198170198366,Posted January 18.,positivo
diego9031,Posted July 30.,neutral
diego9031,Posted July 28.,neutral
diego9031,2015-12-05,neutral
diego9031,2015-10-04,neutral
diego9031,2015-10-03,positivo
diego9031,2015-08-13,neutral
diego9031,2015-02-22,neutral
diego9031,2015-01-14,positivo
diego9031,2013-12-14,negativo
diego9031,2013-12-01,positivo
jarrodtrim,2012-02-11,positivo
76561198078738103,Posted February 20.,negativo
76561198067936203,2015-03-12,positivo
76561198079770573,2015-10-14,neutral
76561198087586464,2013-10-27,positivo
Derp-e,2015-11-27,positivo
76561198070194565,2014-10-09,neutral
76561198070194565,Posted May 7.,neutral
76561198070194565,Posted May 7.,neutral
76561198070194565,Posted April 4.,neutral
76561198070194565,Posted March 30.,positivo
76561198070194565,Posted March 28.,neutral
76561198070194565,2015-11-09,neutral
Rivtex,2015-12-23,neutral
UTNerd24,2014-05-06,negativo
UTNerd24,2015-12-02,negativo
UTNerd24,2015-06-06,positivo
UTNerd24,2015-09-29,neutral
UTNerd24,2014-09-08,negativo
UTNerd24,2013-12-15,positivo
sandwiches1,2015-11-23,neutral
76561198138053270,2014-06-01,positivo
lucaswerg,2014-07-11,positivo
lucaswerg,2014-11-14,neutral
Life-Of-Blu,2015-11-13,positivo
Life-Of-Blu,2013-12-15,positivo
CaptianAutismo,2015-12-17,positivo
76561198075895633,2014-10-26,positivo
TheDropix101,Posted January 11.,positivo
kube134,2014-06-28,positivo
iamthekingofbrowntown,2015-09-12,negativo
iamthekingofbrowntown,2015-09-13,neutral
iamthekingofbrowntown,Posted April 20.,neutral
iamthekingofbrowntown,2015-10-14,positivo
MainScout,Posted February 26.,positivo
yookobz,2015-11-19,positivo
yookobz,2013-06-25,positivo
Posiblydead,2014-04-11,positivo
Posiblydead,2014-02-22,positivo
Posiblydead,2012-09-24,positivo
Mossy_Gaming,2015-09-26,positivo
76561198102421718,2015-06-12,positivo
76561198102421718,2015-08-03,positivo
76561198102421718,2015-06-26,negativo
76561198087407319,2014-01-15,negativo
76561198056741844,2014-10-14,neutral
sad-commie,Posted August 31.,negativo
sad-commie,2014-07-09,positivo
sad-commie,2014-03-13,positivo
76561198030567998,2014-11-11,neutral
76561198030567998,2015-07-21,positivo
76561198030567998,2015-07-05,neutral
76561198030567998,2015-03-12,positivo
76561198030567998,2014-02-23,positivo
76561198010674657,Posted March 27.,positivo
76561198010674657,Posted January 15.,negativo
Coldaniel,2015-03-22,positivo
Coldaniel,2014-08-21,positivo
Coldaniel,2015-03-13,positivo
therealmorty,2015-03-20,positivo
therealmorty,2015-03-07,negativo
Berserklejerker,2015-10-10,neutral
76561198061730629,2014-07-06,positivo
YoHuNz,2014-06-19,neutral
YoHuNz,2014-02-19,neutral
possessioniskey,2015-04-11,positivo
possessioniskey,2015-12-24,negativo
possessioniskey,2014-05-17,negativo
76561198093112529,2014-08-09,neutral
76561198060447950,2015-09-26,positivo
whiteofwolfing,2015-05-22,positivo
sergarino,2015-08-22,neutral
76561198081962345,Posted May 26.,positivo
76561198081962345,2014-04-05,neutral
76561198073210139,Posted January 18.,negativo
Nozomikat,2015-12-30,negativo
Nozomikat,2014-08-01,neutral
